adp_cm,
momenti,x
in,x
mi,x
##hi,x
pra,x
##eter,x
qui,x
##bus,x
ex,x
qui,x
##bus,x
tele,x
##sco,x
##po,x
nomine,x
numero,x
verb,x
##i,x
causa,x
de,x
causa,x
generi,x
##s,x
anno,x
a,x
turca,x
astro,x
##logo,x
tele,x
##sco,x
##po,x
tempore,x
cora,x
##m,x
astro,x
##logi,x
##s,x
verb,x
##is,x
ei,x
prop,x
##ter,x
veste,x
##m,x
stel,x
##lu,x
##lae,x
generi,x
##s,x
turca,x
##rum,x
capi,x
##te,x
sui,x
si,x
##bi,x
anno,x
veste,x
ei,x
homi,x
##num,x
causa,x
ti,x
##bi,x
de,x
stel,x
##lu,x
##la,x
generi,x
##s,x
numeri,x
##s,x
cum,x
de,x
amico,x
ex,x
te,x
voci,x
##s,x
ej,x
##us,x
lu,x
##sioni,x
##bus,x
anno,x
##s,x
corpo,x
##re,x
ej,x
##us,x
si,x
##bi,x
eis,x
later,x
##ibus,x
cu,x
##jus,x
in,x
fe,x
##nes,x
##tris,x
in,x
te,x
##cto,x
co,x
##git,x
##ation,x
##e,x
si,x
##bi,x
eis,x
sest,x
##erti,x
##um,x
modo,x
eis,x
ingen,x
##io,x
eis,x
generi,x
##s,x
si,x
##bi,x
sci,x
##sci,x
##tando,x
homi,x
##ni,x
##bus,x
fl,x
##oc,x
##ci,x
amico,x
eis,x
mi,x
cum,x
ej,x
##us,x
nis,x
##i,x
numeros,x
hac,x
de,x
causa,x
pig,x
##mento,x
##rum,x
ae,x
##tate,x
boa,x
##e,x
boa,x
##e,x
anno,x
##s,x
ip,x
##sius,x
mi,x
##hi,x
in,x
statu,x
##ra,x
de,x
colore,x
vest,x
##is,x
modo,x
in,x
re,x
##bus,x
specie,x
qui,x
##bus,x
in,x
re,x
##bus,x
mi,x
##hi,x
sui,x
per,x
pari,x
##etes,x
arca,x
##rum,x
mi,x
##hi,x
cum,x
homi,x
##ni,x
##bus,x
de,x
stella,x
de,x
prof,x
##ection,x
##e,x
de,x
it,x
##iner,x
##e,x
die,x
de,x
ada,x
##nson,x
##iis,x
de,x
re,x
ar,x
##bus,x
##culi,x
##s,x
ar,x
##bus,x
##culi,x
##s,x
anda,x
##nson,x
##iis,x
temp,x
##lis,x
altitudine,x
elephant,x
##orum,x
sec,x
##um,x
elephant,x
##orum,x
reg,x
##ulo,x
in,x
ali,x
##os,x
ada,x
##nson,x
##iis,x
mi,x
##hi,x
de,x
re,x
mi,x
##hi,x
ment,x
##is,x
per,x
me,x
in,x
stella,x
reg,x
##uli,x
in,x
stel,x
##lis,x
herb,x
##arum,x
herb,x
##arum,x
in,x
terra,x
ali,x
##cu,x
##i,x
eo,x
##rum,x
ad,x
solem,x
rap,x
##hani,x
rosa,x
##eve,x
ei,x
in,x
stella,x
reg,x
##uli,x
ada,x
##nson,x
##iar,x
##um,x
stella,x
##e,x
eis,x
ab,x
ada,x
##nson,x
##ia,x
ratio,x
##ne,x
radi,x
##ci,x
##bus,x
mi,x
##hi,x
in,x
disciplina,x
in,x
hoc,x
a,x
ros,x
##is,x
qui,x
##bus,x
die,x
arte,x
ani,x
##mis,x
pu,x
##ero,x
##rum,x
domi,x
mea,x
##e,x
eis,x
in,x
temp,x
##us,x
de,x
ada,x
##nson,x
##iis,x
magna,x
##m,x
cl,x
##ade,x
##m,x
a,x
reg,x
##ulo,x
mi,x
##hi,x
eo,x
##rum,x
ora,x
##tion,x
##e,x
cet,x
##eros,x
ab,x
ada,x
##nson,x
##iis,x
ei,x
de,x
via,x
in,x
stel,x
##lu,x
##lam,x
vere,x
##cu,x
##ndia,x
ad,x
peri,x
##culum,x
in,x
pic,x
##tura,x
##m,x
de,x
re,x
in,x
libro,x
ur,x
##gent,x
##is,x
mali,x
opinion,x
