Sentence No. + Google Translate,Word,Grammar Notes,Translation,Adposition / Case Marker,Scene Role / Expected BERT Cluster,Function Role (Construal),Daniel's Notes,Mans's Notes
,selville,"ADJ, allative PL","AT/TO/ONTO clear, plain, evident (things)",ALLATIVE,GOAL,"GOAL (onto, Karlsson 19)",GOAL is a child of LOCUS.,
,asiasta:,"N, elative SG","issue, matter, affair",ELATIVE,TOPIC ,"SOURCE (out from inside, origin, Karlsson 19)","The elative is also often used for adverbials occurring after certain verbs. These verbs include those of speaking, writing, thinking, understanding, liking and knowing. (Karlsson 111)",
,Hänen,"PRON, 3P, genitive SG",her,GENITIVE POSSESSIVE PRONOUN,POSSESSOR,POSSESSOR,"Animate party that has a piece of property (something poten- tially with monetary value: the POSSESSION) on a permanent or temporary basis. The POSSESSION must be alienable, i.e. not a part or attribute of the POSSESSOR. (Schneider 55)",
,kotitähtensä,"N compound, 3P SG POSS suffix",home + star = home star,POSSESSIVE SUFFIX,POSSESSOR,POSSESSOR,"Animate party that has a piece of property (something poten- tially with monetary value: the POSSESSION) on a permanent or temporary basis. The POSSESSION must be alienable, i.e. not a part or attribute of the POSSESSOR. (Schneider 55)",
,paitsi,PREP (+PARTITIVE),"besides, except",PREPOSITION,PARTPORTION,PARTPORTION,"A part, portion, subevent, subset, or set element (e.g., an exam- ple or exception) of some WHOLE. Prototypical prepositions include with, without; such_as, like for exemplifi- cation; and but, except, except_for for exceptions: (Schneider 68)",
,kuten,"""ADV""","like, such as",PREPOSITION?,PARTPORTION,PARTPORTION,Xposition: http://flat.nert.georgetown.edu/en/such_as/,
,joille,"PRON, allative PL",onto which,ALLATIVE,GOAL,GOAL,,
,kaukoputkella.,"N, adessive SG",with a telescope,ADESSIVE,INSTRUMENT,INSTRUMENT,"Karlsson 19 lists base cases of Adessive as ""on; instrument"", so I am treating both as acceptable ""protypical forms"" for the adessive case marker.",
,"niistä,","N, elative 3rd PL",of them,ELATIVE,QUANTITYITEM,SOURCE,"Parents: GESTALT <- CONFIGURATION. Otherwise, if the object refers to a specific item or set, and the quantity
measures a portion of that item (whether a quantifier, absolute measure, or fractional measure), the construal QUANTITYITEMYWHOLE is used: (Schneider 62)",
,sille,"PRON, allative",to it,ALLATIVE,RECIPIENT,GOAL,give THEME to RECIPIENT...,
,nimeksi,N,name,TRANSLATIVE,THEME?,GOAL,"A name is given such that the star receives the name as its final ""end state"". It appears that the translative case is typically a GOAL argument, as in autoksi: to become a car. Here, ""to become a name""??",
,esimerkiksi:,"N, translative",for example (becoming an example?),TRANSLATIVE,PURPOSE?,GOAL,"""The translative generally expresses a state, property, function, or position into which something or someone enters, or the end point of a movement or change. (Karlsson 125)",
Sentence 6,Minulla,"PRON, 1P SG, adessive",on me,ADESSIVE,EXPERIENCER,LOCUS,EXPERIENCER is the Child of PARTICIPANT.,
,josta,"PRON, SG, elative","from which, wherof",ELATIVE,SOURCE,SOURCE,Child of LOCUS.,
,kaukoputkella,"N, adessive SG",on/with the telescope,ADESSIVE,LOCUS,LOCUS,"""It is only seen with the telescope"" would make for a more juicy EXPLANATION -> INSTRUMENT annotation. But LOCUS seems simpler, ala Occam's Razor.",
,löydöstään,"N, partitive, 3rd poss",about his discovery,ELATIVE,TOPIC,SOURCE,N.B.: This has both a case marking and a possessive suffix.,
,#NAME?,,,3RD PERSON POSSESSIVE SUFFIX,POSSESSOR,POSSESSOR,,
,eräässä,DET,at/in a certain,INESSIVE,LOCUS,LOCUS,,
,Kokouksessa.,,Meeting,INESSIVE,LOCUS,LOCUS,,
,hänen,genitive,his,GENITIVE POSSESSIVE PRONOUN,POSSESSOR,POSSESSOR,,
,takia.,(GENITIVE) + POSTPOSITION,"because of, due to",POSTPOSITION,EXPLANATION,EXPLANATION,,
,612:lle,,For Asteroid B 612,ALLATIVE,BENEFICIARY,GOAL,"What's with the colon, is it a roughshod way to append the allative case ending? I double checked the text and that IS how it's represented.",
,#NAME?,,,POSSESSIVE SUFFIX,POSSESSOR,POSSESSOR,,
,kuolemanrangaistuksen,ACC/GEN,of the death penalty,GENITIVE,TOPIC,POSSESSOR,,
,uhalla,GEN + PREP/ADV,"at the risk of, under threat of ",POSTPOSITION,INSTRUMENT?,INSTRUMENT?,"derived from uhka, meaning threat",
,vaatteisiin.,ILLATIVE,clothing,ILLATIVE,???,???,,
,"löydöstään,","N, partitive, 3rd poss",about his discovery,ELATIVE,TOPIC,SOURCE,N.B.: This has both a case marking and a possessive suffix.,
,#NAME?,,,3RD PERSON POSSESSIVE SUFFIX,POSSESSOR,POSSESSOR,,
,kertaa,partitive,time,PARTITIVE,QUANTITYITEM??? (this one time of times),???,Should I annotate this as an adverbial phrase? I'm not sure why it's in the partitive.,
