sentence_no,word,word_transl,adp_case,scene_role,fn_role,
,,,,,,
Sentence 1,SIC,,,,,
,REM,,,,,
,ALTERAM,,,,,
,maximi,,,,,
,momenti,,,CHARACTERISTIC,IDENTITY,
,didiceram:,,,,,
,stella,,,,,
,in,,,LOCUS,LOCUS,
,qua,,,,,
,ortus,,,,,
,erat,,,,,
,domo,,,,,
,vix,,,,,
,major,,,,,
,erat!,,,,,
,,,,,,
,Quod,,,,,
,quidem,,,,,
,mihi,,,EXPERIENCER,GOAL,
,admirationem,,,,,
,magnam,,,,,
,movere,,,,,
,non,,,,,
,poterat.,,,,,
,,,,,,
,Nam,,,,,
,certo,,,,,
,sciebam,,,,,
,praeter,,,PARTPORTION,LOCUS,
,majores,,,,,
,"stellas,",,,,,
,ut,,,,,
,"Terra,",,,,,
,"Juppiter,",,,,,
,"Mars,",,,,,
,"Venus,",,,,,
,quibus,,,RECIPIENT,RECIPIENT,
,nomina,,,,,
,data,,,,,
,"sint,",,,,,
,sescentas,,,,,
,esse,,,,,
,ex,,,WHOLE,SOURCE,
,quibus,,,WHOLE,,
,quaedam,,,,,
,adeo,,,,,
,parvae,,,,,
,sint,,,,,
,ut,,,,,
,aegerrime,,,,,
,adhibito,,,,,
,telescopo,,,INSTRUMENT,AGENT,
,cernantur.,,,,,
,,,,,,
,Quare,,,,,
,ubi,,,,,
,astrologus,,,,,
,aliquam,,,,,
,"reperit,",,,,,
,non,,,,,
,nomine,,,CHARACTERISTIC,INSTRUMENT,
,sed,,,,,
,numero,,,CHARACTERISTIC,INSTRUMENT,
,eam,,,,,
,notat,,,,,
,"apellatque,",,,,,
,verbi,,,CHARACTERISTIC,IDENTITY,
,"causa,",,,PURPOSE,MEANS,
,stellulam,,,,,
,ter,,,,,
,millesimam,,,,,
,ducentesimam,,,,,
,quinquagesimam,,,,,
,primam.,,,,,
,,,,,,
,Gravi,,,,,
,de,,,CAUSER,SOURCE,
,causa,,,CAUSER,,
,existimo,,,,,
,eam,,,,,
,unde,,,,,
,regulus,,,,,
,venerit,,,,,
,stellulam,,,,,
,sescentesimam,,,,,
,duodecimam,,,,,
,secundi,,,,,
,generis,,,CHARACTERISTIC,IDENTITY,
,esse.,,,,,
,,,,,,
,Quae,,,,,
,stellula,,,,,
,anno,,,TIME,TIME,
,millesimo,,,,,
,nongentesimo,,,,,
,nono,,,,,
,a,,,AGENT,AGENT,
,Turca,,,AGENT,,
,astrologo,,,,,
,adhibito,,,,,
,telescopo,,,INSTRUMENT,INSTRUMENT,
,semel,,,,,
,conspecta,,,,,
,est.,,,,,
,,,,,,
,Tempore,,,TIME,TIME,
,illo,,,,,
,coram,,,LOCUS,LOCUS,
,astrologis,,,,,
,undique,,,,,
,congressis,,,,,
,se,,,,,
,stellulam,,,,,
,repperisse,,,,,
,multis,,,,,
,verbis,,,MANNER,MANNER,
,"disseruerat,",,,,,
,sed,,,,,
,nemo,,,,,
,ei,,,RECIPIENT,RECIPIENT,
,propter,,,CAUSER,CAUSER,
,vestem,,,CAUSER,,
,fidem,,,,,
,tribuerat.,,,,,
,,,,,,
,Haec,,,,,
,est,,,,,
,illa,,,,,
,adulta,,,,,
,aetas!,,,,,
,,,,,,
,Quod,,,,,
,ad,,,,,
,famam,,,,,
,stellulae,,,POSSESSOR,POSSESSOR,
,sescentesimae,,,,,
,duodecimae,,,,,
,secundi,,,,,
,generis,,,CHARACTERISTIC,IDENTITY,
,"attinet,",,,,,
,prcommode,,,,,
,accidit,,,,,
,quod,,,,,
,dictator,,,,,
,quidam,,,,,
,Turcarum,,,ORG,GESTALT,
,imperavit,,,,,
,ac,,,,,
,capite,,,THEME,ANCILLARY,
,sanxit,,,,,
,ut,,,,,
,cives,,,,,
,sui,,,POSSESSOR,POSSESSOR,
,sibi,,,RECIPIENT,RECIPIENT,
,Europaea,,,,,
,vestimenta,,,,,
,induerent.,,,,,
,,,,,,
,Astrologus,,,,,
,anno,,,TIME,TIME,
,millesimo,,,,,
,nongentesimo,,,,,
,vicesimo,,,,,
,eadem,,,,,
,iterum,,,,,
,disseruit,,,,,
,lautissima,,,,,
,veste,,,THEME,INSTRUMENT,
,indutus.,,,,,
,,,,,,
,Tum,,,,,
,vero,,,,,
,omnes,,,,,
,ei,,,EXPERIENCER,ANCILLARY,
,adsensi,,,,,
,sunt.,,,,,
,,,,,,
,Adultorum,,,,,
,hominum,,,CHARACTERISTIC,IDENTITY,
,causa,,,PURPOSE,MEANS,
,tibi,,,RECIPIENT,RECIPIENT,
,de,,,TOPIC,TOPIC,
,stellula,,,TOPIC,,
,sescentesima,,,,,
,duodecima,,,,,
,secundi,,,,,
,generis,,,CHARACTERISTIC,IDENTITY,
,singula,,,,,
,enarravi,,,,,
,ac,,,,,
,quota,,,,,
,esset,,,,,
,secreto,,,,,
,dixi.,,,,,
,,,,,,
,Nam,,,,,
,adulta,,,,,
,aetas,,,,,
,numeris,,,THEME,MEANS,
,gaudet.,,,,,
,,,,,,
,Quotiescumque,,,,,
,cum,,,RECIPIENT,ANCILLARY,
,eis,,,,,
,de,,,TOPIC,TOPIC,
,novo,,,,,
,amico,,,TOPIC,,
,"loqueris,",,,,,
,quae,,,,,
,plurimi,,,,,
,"sunt,",,,,,
,ea,,,,,
,ex,,,THEME,SOURCE,
,te,,,THEME,,
,nunquam,,,,,
,quaerunt.,,,,,
,,,,,,
,Nunquam,,,,,
,dicunt:,,,,,
,<<Qualis,,,,,
,est,,,,,
,vocis,,,GESTALT,POSSESSOR,
,ejus,,,WHOLE,POSSESSOR,
,sonus?,,,,,
,,,,,,
,Quibus,,,,,
,lusionibus,,,CAUSER,Agent,
,praecipue,,,,,
,delectatur?,,,,,
,,,,,,
,Colligerene,,,,,
,papiliones,,,,,
,solet?>>,,,,,
,,,,,,
,Sed,,,,,
,haec,,,,,
,quaerunt:,,,,,
,<<Quot,,,,,
,annos,,,DURATION,DURATION,
,natus,,,,,
,est?,,,,,
,,,,,,
,Quot,,,,,
,fratres,,,,,
,habet?,,,,,
,,,,,,
,Quam,,,,,
,gravi,,,,,
,corpore,,,CHARACTERISTIC,SOURCE,
,est?,,,,,
,,,,,,
,Quid,,,,,
,pater,,,,,
,ejus,,,SOCIALREL,GESTALT,
,meretur?>>,,,,,
,,,,,,
,Tum,,,,,
,demum,,,,,
,eum,,,,,
,novisse,,,,,
,sibi,,,EXPERIENCER,AGENT,
,videntur.,,,,,
,,,,,,
,Sin,,,,,
,autem,,,,,
,eis,,,REFERENCE,REFERENCE,
,dixeris:,,,,,
,<<Pulchram,,,,,
,domum,,,,,
,vidi,,,,,
,roseis,,,,,
,lateribus,,,CHARACTERISTIC,INSTRUMENT,
,"exstructam,",,,,,
,cujus,,,TOPIC,POSSESSOR,
,in,,,LOCUS,LOCUS,
,fenestris,,,LOCUS,,
,gerania,,,,,
,et,,,,,
,in,,,LOCUS,LOCUS,
,tecto,,,LOCUS,,
,columbae,,,,,
,erant...>>,,,,,
,domum,,,,,
,istam,,,,,
,cogitatione,,,MEANS,MEANS,
,sibi,,,AGENT,REFERENCE,
,fingere,,,,,
,nequaquam,,,,,
,possunt.,,,,,
,,,,,,
,Eis,,,RECIPIENT,RECIPIENT,
,dicere,,,,,
,oportet:,,,,,
,<<Domum,,,,,
,quingenorum,,,,,
,sestertium,,,COST, COST,
,vidi.>>,,,,,
,,,,,,
,Tum,,,,,
,vero,,,,,
,exclamant:,,,,,
,<<Quam,,,,,
,lauta,,,,,
,est!>>,,,,,
,,,,,,
,Eodem,,,,,
,modo,,,MANNER,MANNER,
,si,,,,,
,eis,,,RECIPIENT,RECIPIENT,
,dixeris:,,,,,
,<<Idcirco,,,,,
,regulum,,,,,
,illum,,,,,
,fuisse,,,,,
,aio,,,,,
,quod,,,,,
,et,,,,,
,venustissimus,,,,,
,erat,,,,,
,et,,,,,
,ridebat,,,,,
,et,,,,,
,ovem,,,,,
,volebat.,,,,,
,,,,,,
,Qui,,,,,
,ovem,,,,,
,"vult,",,,,,
,eum,,,,,
,esse,,,,,
,necesse,,,,,
,est.>>,,,,,
,,,,,,
,Umeros,,,,,
,jactabunt,,,,,
,et,,,,,
,te,,,,,
,puerili,,,,,
,ingenio,,,CHARACTERISTIC,CHARACTERISTIC,
,esse,,,,,
,dicent.,,,,,
,,,,,,
,Sin,,,,,
,eis,,,RECIPIENT,,
,dixeris:,,,,,
,<<Haec,,,,,
,unde,,,,,
,ille,,,,,
,venerat,,,,,
,stellula,,,,,
,sescentesima,,,,,
,duodecima,,,,,
,secundi,,,,,
,generis,,,CHARACTERISTIC,IDENTITY,
,est>>,,,,,
,tum,,,,,
,sibi,,,EXPERIENCER,RECIPIENT,
,persuasum,,,,,
,habebunt,,,,,
,ita,,,,,
,esse,,,,,
,et,,,,,
,te,,,,,
,sciscitando,,,INSTRUMENT,INSTRUMENT,
,vexare,,,,,
,desinent.,,,,,
,,,,,,
,Scilicet,,,,,
,ita,,,,,
,se,,,,,
,habent.,,,,,
,,,,,,
,Quare,,,,,
,pueros,,,,,
,adultis,,,,,
,hominibus,,,STIMULUS,TOPIC,
,non,,,,,
,suscensere,,,,,
,sed,,,,,
,maximam,,,,,
,lenitatem,,,,,
,adhibere,,,,,
,decet.,,,,,
,,,,,,
,Verumenimvero,,,,,
,"ipsi,",,,,,
,qui,,,,,
,quid,,,,,
,sit,,,,,
,vivere,,,,,
,"intellegimus,",,,,,
,numeros,,,,,
,non,,,,,
,flocci,,,CHARACTERISTIC,IDENTITY,
,facimus.,,,,,
,,,,,,
,Juvisset,,,,,
,me,,,,,
,narrationem,,,,,
,hanc,,,,,
,tanquam,,,,,
,fabulam,,,,,
,fictam,,,,,
,incipere;,,,,,
,juvisset,,,,,
,scribere:,,,,,
,,,,,,
,<<Fuit,,,,,
,quondam,,,,,
,regulus,,,,,
,qui,,,,,
,stellam,,,,,
,paulo,,,,,
,majorem,,,,,
,quam,,,,,
,ipse,,,,,
,incolebat,,,,,
,et,,,,,
,amico,,,THEME,,
,egebatâ€¦>>,,,,,
,,,,,,
,Qui,,,,,
,quid,,,,,
,sit,,,,,
,vivere,,,,,
,"intellegunt,",,,,,
,haec,,,,,
,eis,,,EXPERIENCER,AGENT,
,multo,,,,,
,veriora,,,,,
,esse,,,,,
,viderentur.,,,,,
,,,,,,
,Offendit,,,,,
,enim,,,,,
,me,,,,,
,si,,,,,
,quis,,,,,
,librum,,,,,
,meum,,,,,
,tanquam,,,,,
,nugatorium,,,,,
,legit.,,,,,
,,,,,,
,Adeo,,,,,
,acerba,,,,,
,mihi,,,EXPERIENCER,BENEFICIARY,
,est,,,,,
,illarum,,,,,
,rerum,,,,,
,narratio.,,,,,
,,,,,,
,Sex,,,,,
,jam,,,,,
,anni,,,,,
,sunt,,,,,
,amicus,,,,,
,meus,,,,,
,cum,,,ANCILLARY,INSTRUMENT,
,ove,,,,,
,sua,,,,,
,discessit.,,,,,
,,,,,,
,Idcirco,,,,,
,hic,,,,,
,eum,,,,,
,describere,,,,,
,conor,,,,,
,ne,,,,,
,ejus,,,TOPIC,TOPIC,
,obliviscar.,,,,,
,,,,,,
,Neque,,,,,
,omnes,,,,,
,amicum,,,,,
,habuerunt,,,,,
,et,,,,,
,forsitan,,,,,
,adultorum,,,,,
,hominum,,,,,
,similis,,,,,
,fiam,,,,,
,qui,,,,,
,jam,,,,,
,nihil,,,,,
,nisi,,,PARTPORTION,PARTPORTION,
,numeros,,,PARTPORTION,,
,curant.,,,,,
,,,,,,
,Ergo,,,,,
,etiam,,,,,
,hac,,,,,
,de,,,TOPIC,TOPIC,
,causa,,,,,
,pyxidem,,,,,
,pigmentorum,,,STUFF,POSSESSOR,
,graphidasque,,,,,
,emi.,,,,,
,,,,,,
,Arduum,,,,,
,"est,",,,,,
,qua,,,,,
,aetate,,,TIME,TIME,
,"sum,",,,,,
,picturam,,,,,
,"repetere,",,,,,
,qui,,,,,
,nullam,,,,,
,aliam,,,,,
,formam,,,,,
,quam,,,,,
,boae,,,WHOLE,POSSESSOR,
,opertae,,,,,
,ac,,,,,
,boae,,,WHOLE,POSSESSOR,
,apertae,,,,,
,describere,,,,,
,conatus,,,,,
,"sim,",,,,,
,sex,,,,,
,annos,,,DURATION,DURATION,
,natus!,,,,,
,,,,,,
,Conabor,,,,,
,equidem,,,,,
,imagines,,,,,
,ipsius,,,TOPIC,POSSESSOR,
,quam,,,,,
,simillimas,,,,,
,"exprimere,",,,,,
,sed,,,,,
,non,,,,,
,satis,,,,,
,exploratum,,,,,
,habeo,,,,,
,id,,,,,
,mihi,,,AGENT,BENEFICIARY,
,prospere,,,,,
,processurum,,,,,
,esse.,,,,,
,,,,,,
,Picta,,,,,
,enim,,,,,
,forma,,,,,
,haec,,,,,
,"convenit,",,,,,
,illa,,,,,
,dissimilis,,,,,
,est.,,,,,
,,,,,,
,In,,,TOPIC,LOCATION,
,statura,,,,,
,quoque,,,,,
,paulum,,,,,
,error.,,,,,
,,,,,,
,Hic,,,,,
,regulus,,,,,
,"major,",,,,,
,illic,,,,,
,minor,,,,,
,est.,,,,,
,,,,,,
,De,,,TOPIC,TOPIC,
,colore,,,,,
,quoque,,,,,
,vestis,,,WHOLE,POSSESSOR,
,ejus,,,,,
,dubito.,,,,,
,,,,,,
,Itaque,,,,,
,modo,,,MANNER,MANNER,
,"haec,",,,,,
,modo,,,,,
,illa,,,,,
,"tempto,",,,,,
,utcumque,,,,,
,successura,,,,,
,sunt.,,,,,
,,,,,,
,In,,,TOPIC,LOCATION,
,rebus,,,,,
,denique,,,,,
,specie,,,TOPIC,ANCILLARY,
,"minoribus,",,,,,
,reapse,,,,,
,majoribus,,,,,
,errabo.,,,,,
,,,,,,
